Date,Long,Short,Change long,Change short,Net position
07/05/24,49480,113996,8187,-10532,-64516,
30/04/24,41293,124528,-2136,-15140,-83235,
23/04/24,43429,139668,1064,-3780,-96239,
16/04/24,42365,143448,11809,20551,-101083,
09/04/24,30556,122897,-4001,-14345,-92341,
02/04/24,34557,137242,119,-2648,-102685,
26/03/24,34438,139890,-3769,-5855,-105452,
19/03/24,38207,145745,-3384,13314,-107538,
12/03/24,41591,132431,-12375,-6278,-90840,
05/03/24,53966,138709,4326,9893,-84743,
27/02/24,49640,128816,540,-2159,-79176,
20/02/24,49100,130975,1695,4594,-81875,
13/02/24,47405,126381,8163,15326,-78976,
06/02/24,39242,111055,2286,15804,-71813,
30/01/24,36956,95251,-5897,-1722,-58295,
23/01/24,42853,96973,-2959,3304,-54120,
16/01/24,45812,93669,-1514,14069,-47857,
09/01/24,47326,79600,2884,-7735,-32274,
02/01/24,44442,87335,5431,-2979,-42893,
26/12/23,39011,90314,3734,4360,-51303,
19/12/23,35277,85954,4310,2647,-50677,
12/12/23,30967,83307,-1919,-7260,-52340,
05/12/23,32886,90567,3683,-9855,-57681,
28/11/23,29203,100422,-362,-7113,-71219,
21/11/23,29565,107535,-3163,3851,-77970,
14/11/23,32728,103684,-1321,4072,-70956,
07/11/23,34049,99612,1244,-8303,-65563,
31/10/23,32805,107915,4787,-3184,-75110,
24/10/23,28018,111099,-3547,-1205,-83081,
17/10/23,31565,112304,-262,3900,-80739,
10/10/23,31827,108404,-7638,-13048,-76577,
03/10/23,39465,121452,3361,-1467,-81987,
26/09/23,36104,122919,-676,-10807,-86815,
19/09/23,36780,133726,-10529,6884,-96946,
12/09/23,47309,126842,-6723,-10727,-79533,
05/09/23,54032,137569,-7344,6008,-83537,
29/08/23,61376,131561,-10658,-4259,-70185,
22/08/23,72034,135820,3411,13800,-63786,
15/08/23,68623,122020,7532,17737,-53397,
08/08/23,61091,104283,14479,5879,-43192,
01/08/23,46612,98404,7504,8095,-51792,
25/07/23,39108,90309,856,1656,-51201,
18/07/23,38252,88653,-5409,-92,-50401,
11/07/23,43661,88745,-6509,-6007,-45084,
03/07/23,50170,94752,4945,10103,-44582,
27/06/23,45225,84649,-518,-10710,-39424,
20/06/23,45743,95359,6985,-5144,-49616,
13/06/23,38758,100503,-15743,-10466,-61745,
06/06/23,54501,110969,-14468,-2126,-56468,
30/05/23,68969,113095,15550,10595,-44126,
23/05/23,53419,102500,9516,5003,-49081,
16/05/23,43903,97497,2678,7079,-53594,
09/05/23,41225,90418,-11115,-6932,-49193,
02/05/23,52340,97350,-1901,3647,-45010,
25/04/23,54241,93703,9631,6737,-39462,
18/04/23,44610,86966,-871,3548,-42356,
11/04/23,45481,83418,-1206,9498,-37937,
04/04/23,46687,73920,2874,-5246,-27233,
28/03/23,43813,79166,2630,-476,-35353,
21/03/23,41183,79642,-502,-2134,-38459,
14/03/23,41685,81776,-12622,2645,-40091,
07/03/23,54307,79131,13236,13895,-24824,
28/02/23,41071,65236,2579,1956,-24165,
21/02/23,38492,63280,7740,3621,-24788,
14/02/23,30752,59659,708,1510,-28907,
07/02/23,30044,58149,-6293,-8780,-28105,
31/01/23,36337,66929,6871,4292,-30592,
24/01/23,29466,62637,873,424,-33171,
17/01/23,28593,62213,-1617,-1687,-33620,
10/01/23,30210,63900,-4998,-7575,-33690,
03/01/23,35208,71475,2253,1729,-36267,
27/12/22,32955,69746,1176,3852,-36791,
20/12/22,31779,65894,-4046,-7768,-34115,
13/12/22,35825,73662,-509,-3235,-37837,
06/12/22,36334,76897,1289,-2778,-40563,
29/11/22,35045,79675,2220,4064,-44630,
22/11/22,32825,75611,-389,-2352,-42786,
15/11/22,33214,77963,-74,-2008,-44749,
08/11/22,33288,79971,-860,-4709,-46683,
01/11/22,34148,84680,1989,1075,-50532,
25/10/22,32159,83605,-887,15200,-51446,
18/10/22,33046,68405,3721,7809,-35359,
11/10/22,29325,60596,-6923,-3416,-31271,
04/10/22,36248,64012,-2758,-9647,-27764,
27/09/22,39006,73659,209,-5694,-34653,
20/09/22,38797,79353,9579,-7715,-40556,
13/09/22,29218,87068,-4087,-2737,-57850,
06/09/22,33305,89805,2001,1108,-56500,
30/08/22,31304,88697,-1038,-3673,-57393,
23/08/22,32342,92370,3507,4287,-60028,
16/08/22,28835,88083,3191,4851,-59248,
09/08/22,25644,83232,-5191,-3553,-57588,
02/08/22,30835,86785,811,9376,-55950,
26/07/22,30024,77409,-554,3683,-47385,
19/07/22,30578,73726,51,1599,-43148,
12/07/22,30527,72127,2905,-3116,-41600,
05/07/22,27622,75243,-1265,3376,-47621,
28/06/22,28887,71867,-2858,-484,-42980,
21/06/22,31745,72351,85,-2563,-40606,
14/06/22,31660,74914,-60,-4702,-43254,
07/06/22,31720,79616,-1177,-1963,-47896,
31/05/22,32897,81579,-3682,-446,-48682,
24/05/22,36579,82025,-4894,-4090,-45446,
17/05/22,41473,86115,4604,7532,-44642,
10/05/22,36869,78583,-10126,3072,-41714,
03/05/22,46995,75511,-110,755,-28516,
26/04/22,47105,74756,7904,6718,-27651,
19/04/22,39201,68038,-569,-447,-28837,
12/04/22,39770,68485,4899,-3899,-28715,
05/04/22,34871,72384,911,-11182,-37513,
29/03/22,33960,83566,10213,8630,-49606,
22/03/22,23747,74936,-534,5799,-51189,
15/03/22,24281,69137,4760,-28579,-44856,
08/03/22,19521,97716,6801,6660,-78195,
